last_name,first_name,terms_elected,2021_Spring_total,2021_Spring_NGO_local,2021_Spring_business,2021_Spring_registered_lobbyists,2021_Spring_trade_unions,2021_Spring_others,Asterisk_2021_Spring,2021_Autumn_total,2021_Autumn_NGO_local,2021_Autumn_business,2021_Autumn_registered_lobbyists,2021_Autumn_trade_unions,2021_Autumn_others,Total_all_periods,End_term,Asterisk_2021_Autumn
Sejonienė	,Jurgita,1,0,0,0,0,0,0,0,3,2,0,0,0,1,3,,0
Šiugždinienė,Jurgita,1,29,5,4,0,1,19,2,5,2,1,0,0,2,34,,2
Džiugelis,Justas,2,38,10,8,0,0,20,0,12,2,4,0,1,5,50,,2
Urbanavičius,Justinas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Adomaitis,Kasparas,1,28,9,12,0,1,6,2,13,2,3,1,1,6,41,,0
Starkevičius,Kazys,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Bartoševičius,Kristijonas,1,9,0,1,0,1,7,0,1,0,0,0,0,1,10,,0
Glaveckas,Kęstutis,8,0,0,0,0,0,0,0,-,-,-,-,-,-,-,Seimo narys nuo 2020-11-13 iki 2021-05-06,-
Masiulis,Kęstutis,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mažeika,Kęstutis,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Vilkauskas,Kęstutis,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2,,0
Andrikienė,	Laima Liucija,4,3,1,1,0,0,1,0,3,0,0,0,0,3,6,,0
Mogenienė,Laima,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,,0
Nagienė,Laima,1,2,0,1,0,0,1,0,0,0,0,0,0,0,2,,0
Kasčiūnas,Laurynas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Girskienė,Ligita,1,4,0,2,0,0,2,0,11,4,3,1,2,1,15,,0
Jonauskas,Linas,1,5,0,3,1,1,0,1,1,0,0,1,0,0,6,,0
Kukuraitis,Linas,1,0,0,0,0,0,0,0,3,1,0,0,1,1,3,,0
Slušnys,Linas,1,14,2,0,0,1,11,0,12,1,1,0,0,10,26,,0
Pociūnienė,Liuda,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jonaitis,Liudas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Savickas,Lukas ,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,0
Matijošaitis	,Marius,1,15,7,4,0,0,4,2,2,1,0,0,0,1,17,,0
Maldeikis,Matas,1,1,0,0,1,0,0,0,12,3,5,0,0,4,13,,0
Lingė,Mindaugas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Puidokas,Mindaugas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Skritulskas,Mindaugas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Navickienė,Monika,2,29,11,2,0,1,15,0,12,4,2,0,0,6,41,,1
Ošmianskienė,Monika,1,2,1,0,0,0,1,0,5,3,2,0,0,0,7,,0
Danielė,Morgana,1,21,5,3,1,1,11,0,10,4,3,0,0,3,31,,0
Majauskas,Mykolas,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Leiputė,Orinta,2,12,2,2,0,0,8,1,16,16,0,0,0,0,28,,0
Saudargas	,Paulius,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kuzmickienė,Paulė,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Gražulis,Petras,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Morkūnaitė-Mikulėnienė,Radvilė,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Lopata,Raimundas,1,4,0,0,0,0,4,0,3,2,1,0,0,0,7,,0
Budbergytė,Rasa,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Žemaitaitis,Remigijus,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Baškienė,Rima,5,14,1,2,0,0,11,0,5,3,2,0,0,0,19,,0
Šalaševičiūtė,Rimantė,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tamašunienė	,Rita,3,3,0,0,0,0,3,0,0,0,0,0,0,3,3,,0
Juška,	Ričardas ,2,2,0,0,0,0,2,0,1,0,0,0,0,1,3,,0
