group,legislation8,legislation9
2017 pavasaris / 2021 pavasaris,475,654
2017 ruduo / 2021 ruduo,496,0
2018 pavasaris / 2022 pavasaris,676,0
2018 ruduo / 2022 ruduo,737,0
2019 pavasaris / 2023 pavasaris,530,0
2019 ruduo / 2023 ruduo,683,0
2020 pavasaris / 2024 pavasaris,371,0
