last_name,first_name,terms_elected,2021_Spring_total,2021_Spring_NGO_local,2021_Spring_business,2021_Spring_registered_lobbyists,2021_Spring_trade_unions,2021_Spring_others,Total_all_periods,End_term,Asterisk
Ošmianskienė,Monika,1,2,1,0,0,0,1,2,,0
Danielė,Morgana,1,21,5,3,1,1,11,21,,0
Majauskas,Mykolas,2,0,0,0,0,0,0,0,,0
Leiputė,Orinta,2,12,2,2,0,0,8,12,,1
Saudargas	,Paulius,4,0,0,0,0,0,0,0,,0
Kuzmickienė,Paulė,2,0,0,0,0,0,0,0,,0
Gražulis,Petras,7,0,0,0,0,0,0,0,,0
Morkūnaitė-Mikulėnienė,Radvilė,2,0,0,0,0,0,0,0,,0
Lopata,Raimundas,1,4,0,0,0,0,4,4,,0
Budbergytė,Rasa,2,0,0,0,0,0,0,0,,0
Žemaitaitis,Remigijus,4,0,0,0,0,0,0,0,,0
Baškienė,Rima,5,14,1,2,0,0,11,14,,0
Šalaševičiūtė,Rimantė,3,0,0,0,0,0,0,0,,0
Tamašunienė	,Rita,3,3,0,0,0,0,3,3,,0
Juška,	Ričardas ,2,2,0,0,0,0,2,2,,0
Šarknickas,Robertas,2,5,0,0,0,0,5,5,,0
Vaitkus,Romualdas ,1,1,0,0,0,0,1,1,,0
Miliūtė,	Rūta ,2,0,0,0,0,0,0,0,,0
Skvernelis,Saulius,2,0,0,0,0,0,0,0,,0
Jovaiša,Sergejus,3,0,0,0,0,0,0,0,,0
Lengvinienė,Silva,1,2,1,0,1,0,0,2,,0
Gentvilas,Simonas,2,34,3,24,0,1,6,34,,9
Šedbaras,Stasys,4,0,0,0,0,0,0,0,,0
Tumėnas,Stasys,2,15,0,4,0,0,11,15,,1
Bičiūnas,Tomas,1,1,0,1,0,0,0,1,,0
Tomilinas,Tomas,2,0,0,0,0,0,0,0,,0
	 Raskevičius,Tomas Vytautas,1,6,2,2,0,0,2,6,,0
Giraitytė,Vaida,1,0,0,0,0,0,0,0,,0
Rakutis,Valdas,1,0,0,0,0,0,0,0,,0
 Valkiūnas,        Valdemaras,2,0,0,0,0,0,0,0,,0
Bukauskas,Valentinas,5,5,3,2,0,0,0,5,,1
Ąžuolas,Valius,2,0,0,0,0,0,0,0,,0
Kanopa,Vidmantas,1,0,0,0,0,0,0,0,,0
Jukna,Vigilijus,1,0,0,0,0,0,0,0,,0
Fiodorovas,Viktoras,2,1,1,0,0,0,0,1,,0
Pranckietis,Viktoras,2,22,6,9,1,2,4,22,,3
Čmilytė-Nielsen,Viktorija,3,32,14,8,0,0,10,32,,3
Aleknaitė Abramikienė,Vilija,8,0,0,0,0,0,0,0,,0
Targamadzė,Vilija,1,23,3,4,0,4,12,23,,2
Alekna,Virgilijus,2,6,1,0,0,0,5,6,,0
Bakas,Vytautas,2,0,0,0,0,0,0,0,,0
Gapšys,Vytautas,3,0,0,0,0,0,0,0,,0
Juozapaitis,Vytautas,3,5,0,2,0,0,3,5,,0
Kernagis,Vytautas,2,0,0,0,0,0,0,0,,0
Mitalas,Vytautas,1,17,3,12,0,0,2,17,,5
Streikus,Zenonas ,2,5,2,1,0,0,2,5,,0
Balčytis,Zigmantas,4,0,0,0,0,0,0,0,,0
Pavilionis,Žygimantas ,2,0,0,0,0,0,0,0,,0
