ID,num,,,
Artūras Rudomanskis,1,,,
Artūras Žukauskas,2,,,
Artūras Antanas Skučas,0,,,
Artūras Dembskis,1,,,
Arturas Juškauskas,0,,,
Artūras Kriūkas,0,,,
Artūras Kungys,34,,,
Arturas Nastaravičius,19,,,
Artūras Norkevičius,2,,,
Artūras Razbadauskas,0,,,
Artūras Remeikis,4,,,
Artūras Ugenskas,0,,,
Arūnas Bubnys,1,,,
Arūnas Eigirdas,0,,,
Arūnas Jankauskas,0,,,
Arūnas Adomėnas,3,,,
Arūnas Armalis,0,,,
Arūnas Barbšys,5,,,
Arūnas Čepelė,7,,,
Arūnas Cijūnaitis,21,,,
Arūnas Gražulis,0,,,
Arūnas Paulauskas,0,,,
Arūnas Siniauskas,0,,,
Arūnas Štaras,0,,,
Arūnas Svitojus,9,,,
Arūnas Trakimavičius,0,,,
Arvydas Gadrilavičius,0,,,
Arvydas Gudelis,0,,,
Arvydas Juozaitis,0,,,
Arvydas Kregždė,0,,,
Arvydas Sekmokas,0,,,
Arvydas Vaitkus,0,,,
Asta Junevičienė,0,,,
Asta Aranauskienė,30,,,
Asta Beierle Eigirdienė,5,,,
Asta Godienė,7,,,
Asta Godlevska,0,,,
Asta Kandratavičienė,0,,,
Asta Kuniyoshi,13,,,
Asta Marija Baškauskas,0,,,
Asta Meškėnaitė,0,,,
Asta Navickienė,0,,,
Asta Pesliokienė,0,,,
Asta Radikaitė,0,,,
Asta Riukienė,0,,,
Asta Skaisgirytė,0,,,
Asta Zelo,4,,,
Asta Zlatkienė,5,,,
Astrida Miceikienė,0,,,
Audra Mikalauskaitė,0,,,
Audris Narbutas,0,,,
Audrius Daunoravičius,0,,,
Audrius Girončikas,0,,,
Audrius Jurgelevičius,11,,,
Audrius Klimas,1,,,
Audrius Linartas,1,,,
Audrius Misevičius,46,,,
Audrius Penkauskas,0,,,
Audrius Ščeponavičius,26,,,
Audrius Siaurusevičius,0,,,
Audrius Skaistys,0,,,
Audrius Stankevičius,0,,,
Audrius Valeika,21,,,
Audrius Želionis,30,,,
Audronė Juodaitė-Račkauskienė,0,,,
Audronė Astrauskienė,19,,,
Audronė Bedorf,2,,,
Audronė Margenytė-Cazan,0,,,
Audronė Miknevičienė,23,,,
Audronė Misiūnaitė,20,,,
Audronė Pavlovičienė,0,,,
Audronė Railaitė,19,,,
Audronė Vaitkevičiūtė,1,,,
Audronė Vareikytė,122,,,
Audronius Imbrasas,0,,,
Audronius Pautienius,0,,,
Audrys Antanaitis,6,,,
Augustas Muliarčikas,27,,,
Augustas Ručinskas,21,,,
Augustinas Vaitiekus,0,,,
Augustinas Gudelis,0,,,
Augustinas Normantas,6,,,
Auksė Kontrimienė,0,,,
Aurelija Bajoraitienė,4,,,
Aurelija Biluvienė,0,,,
Aurelija Brukštutė,14,,,
Aurelija Katkuvienė,0,,,
Aurelija Kriščiūnaitė,60,,,
Aurelija Lankelienė,0,,,
Aurelija Ložytė,0,,,
Aurelija Olendraitė,12,,,
Aurelija Urbonienė,6,,,
Aurimas Navys,0,,,
Aurimas Miškinis,20,,,
Aurimas Nausėda,0,,,
Aušra Solcevienė,0,,,
Aušra Aleksienė,0,,,
Aušra Balsytė,0,,,
Aušra Gratulevičienė,103,,,
Aušra Grikevičienė,6,,,
Aušra Kalantaitė,56,,,
Aušra Vičkačkienė,80,,,
Aušrina Genienė,45,,,
Aušrinė Asanavičienė,0,,,
Aušrys Macijauskas,9,,,
Ąžuolas Raškevičius,0,,,
Barbara Dvilevič,0,,,
Barbara Stankevič,0,,,
Beata Valungevičienė,0,,,
Beata Vilimaitė Šilobritienė,1,,,
Beatryčė Vankevičiūtė,0,,,
Bertas Venckaitis,0,,,
Birutė Balynienė,0,,,
Birutė Giler,0,,,
Birutė Noreikaitė,0,,,
Birutė Strakšytė,0,,,
Boris Protopopov,0,,,
Brigita Mikolajūnaitė,0,,,
Brigita Šidlauskaitė-Riazanova,0,,,
Brigita Stankevičiūtė,0,,,
Bronius Antanas Rasimas,0,,,
Bronius Bučelis,6,,,
Česlav Davidovič,0,,,
Česlavas Zenkevičius,0,,,
Česlovas Jezerskas,0,,,
Daina Gudzinevičiūtė,2,,,
Daina Urbonaitienė,47,,,
Dainius Jankauskas,0,,,
Dainius Žaržojus,0,,,
Dainius Bražiūnas,13,,,
Dainius Čergelis,23,,,
Dainius Haroldas Pauža,1,,,
Dainius Kaunas,5,,,
Dainius Pavalkis,0,,,
Dainius Radzevičius,5,,,
Dainius Žilinskas,16,,,
Dainius Žvirdauskas,0,,,
Dainora Bernackienė,41,,,
Daiva Rutkūnienė,0,,,
Daiva Aliūkaitė,0,,,
Daiva Bakutienė,2,,,
Daiva Buivydaitė-Garbštienė,14,,,
Daiva Daugirdienė,0,,,
Daiva Jurelevičienė,0,,,
Daiva Kamarauskienė,32,,,
Daiva Kirkilaitė-Chetcuti,0,,,
Daiva Nazarovienė,0,,,
Daiva Petrylaitė,3,,,
Daiva Pitrėnaitė,0,,,
Daiva Puplauskienė,0,,,
Daiva Rastenytė,0,,,
Daiva Raudonienė,2,,,
Daiva Sakalauskienė,0,,,
Daiva Vaišnienė,3,,,
Daiva Zabarauskienė,11,,,
Daiva Žaromskienė,4,,,
Daiva Žaromskytė-Rastenė,0,,,
Daivaras Bagackas,0,,,
Daivutė Jokšienė,4,,,
Dalė Remeikienė,0,,,
Dalė Steponavičienė,0,,,
Dalia Ambrozaitienė,0,,,
Dalia Asanavičiūtė,1,,,
Dalia Bufaitė,0,,,
Dalia Cibulskienė,0,,,
Dalia Henke,1,,,
Dalia Janeliauskienė,2,,,
Dalia Kavoliūnienė,1,,,
Dalia Kutraitė-Giedraitienė,0,,,
Dalia Masaitienė,58,,,
Dalia Matukienė,0,,,
Dalia Mikalauskaitė,1,,,
Dalia Narkūnienė,0,,,
Dalia Ramoškienė,0,,,
Dalia Tarailienė,0,,,
Dalia Truskaitė,0,,,
Dalia Urbanavičienė,41,,,
Dalia Židonytė,2,,,
Dalius Čeponas,18,,,
Dalius Kabašinskas,0,,,
Dalius Krinickas,50,,,
Dalius Matkevičius,0,,,
Dalius Misiūnas,0,,,
Dalius Serafinas,0,,,
Danas Vaikasas,0,,,
Dangira Grakauskienė,0,,,
Danguolė Jakštienė,13,,,
Danguolė Krištopavičienė,68,,,
Danguolė Milkevičiūtė,0,,,
Danguolė Misiūnienė,0,,,
Danguolė Morkūnienė,1,,,
Danguolė Sabaliauskienė,0,,,
Danguolė Sužiedelytė,0,,,
Dangyras Žukauskas,21,,,
Danielis Krinickis,0,,,
Danielius Kuprys,1,,,
Danielius Degėsys,0,,,
Danielius Krinickas,0,,,
Danukas Arlauskas,0,,,
Danutė Bačinskienė,0,,,
Danutė Budreikaitė,2,,,
Danutė Dalia Kunickienė,0,,,
Danutė Kazlauskaitė,0,,,
Danutė Kontrimavičienė,0,,,
Danutė Petrauskienė,33,,,
Danutė Voicechovska,0,,,
Darijus Beinoravičius,0,,,
Darius Trečiakauskas,0,,,
Darius Biekša,8,,,
Darius Blaževičius,0,,,
Darius Chmieliauskas,0,,,
Darius Degutis,1,,,
Darius Domarkas,12,,,
Darius Gaižauskas,0,,,
Darius Kazlauskas,0,,,
Darius Kuliešius,39,,,
Darius Kuolys,0,,,
Darius Mačeika,0,,,
Darius Maikštėnas,0,,,
Darius Matusevičius,3,,,
Darius Mickevičius,7,,,
Darius Milašius,0,,,
Darius Pauliukonis,20,,,
Darius Pikūnas,0,,,
Darius Remeika,21,,,
Darius Šimaitis,0,,,
Darius Staliūnas,0,,,
Darius Staniulis,0,,,
Darius Stravinskas,1,,,
Darius Trakelis,0,,,
Darius Urbonas,54,,,
Darius Vasaris,16,,,
Darius Vedrickas,1,,,
Darius Vilimas,0,,,
Darius Žilys,17,,,
Daumantas Kerežius,0,,,
Deimantė Malikėnaitė,0,,,
Deimantė Petkevičiūtė,0,,,
Deividas Kriaučiūnas,0,,,
Deividas Linkevičius,0,,,
Deividas Velkas,23,,,
Deivydas Rimkevičius,5,,,
Diana Mickevičienė,1,,,
Diana Smaliukaitė,0,,,
Diana Varnaitė,0,,,
Diana Vilytė,71,,,
Dina Lurje,0,,,
Dmitrij Omelkov,0,,,
Dmitrijus Bialas,0,,,
Dmitrijus Zadojenko,4,,,
Dobilas Sinkevičius,2,,,
Domantas Kascėnas,0,,,
Domantas Katelė,1,,,
Domantas Tracevičius,5,,,
Domas Kaunas,0,,,
Donaldas Vasiliauskas,0,,,
Donata Matulevičienė,0,,,
Donatas Butkus,0,,,
Donatas Daubaras,0,,,
Donatas Dudutis,9,,,
Donatas Jasas,17,,,
Donatas Kušlys,0,,,
Donatas Laurinavičius,0,,,
Dovilė Almanytė,3,,,
Dovilė Kapačinskaitė,1,,,
Dovilė Montvilaitė,0,,,
Dovilė Šacikauskė,26,,,
Džestina Uždavinytė,0,,,
Džiugas Anuškevičius,0,,,
Džiugas Skurvydas,0,,,
Edis Urbanavičius,0,,,
