last_name,first_name,terms_elected,2017_Spring_total,2017_Spring_NGO_local,2017_Spring_business,2017_Spring_registered_lobbyists,2017_Spring_trade_unions,2017_Spring_others,2017_Autumn_total,2017_Autumn_NGO_local,2017_Autumn_business,2017_Autumn_registered_lobbyists,2017_Autumn_trade_unions,2017_Autumn_others,2018_Spring_total,2018_Spring_NGO_local,2018_Spring_business,2018_Spring_registered_lobbyists,2018_Spring_trade_unions,2018_Spring_others,2018_Autumn_total,2018_Autumn_NGO_local,2018_Autumn_business,2018_Autumn_registered_lobbyists,2018_Autumn_trade_unions,2018_Autumn_others,2019_Spring_total,2019_Spring_NGO_local,2019_Spring_business,2019_Spring_registered_lobbyists,2019_Spring_trade_unions,2019_Spring_others,2019_Autumn_total,2019_Autumn_NGO_local,2019_Autumn_business,2019_Autumn_registered_lobbyists,2019_Autumn_trade_unions,2019_Autumn_others,2020_Spring_total,2020_Spring_NGO_local,2020_Spring_business,2020_Spring_registered_lobbyists,2020_Spring_trade_unions,2020_Spring_others,Total_all_periods,End_term
Petrauskienė,Rasa,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1,1,0,0,2,0,0,0,0,0,0,4,Seimo narė nuo 2019-09-26
Poderys,Virgilijus,1,4,2,1,0,0,1,6,2,4,0,0,0,22,3,18,0,0,1,13,0,10,1,0,2,4,0,3,0,0,1,6,1,5,0,0,0,0,0,0,0,0,0,55,
Popovienė,Raminta,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,2,1,0,0,0,1,8,
Pranckietis,Viktoras,1,35,15,13,0,1,6,39,9,22,0,1,7,38,9,14,0,0,15,50,16,15,0,0,19,22,13,2,0,0,7,21,4,6,0,1,10,18,8,1,0,0,9,223,
Puidokas,Mindaugas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pūkas,Kęstutis,1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,Seimo narys nuo 2016-11-14 iki 2018-01-12
Pupinis,Edmundas,3,6,2,4,0,0,0,10,0,6,0,0,4,1,0,0,0,0,1,1,0,0,0,0,1,3,1,0,0,0,2,7,2,2,0,0,3,0,0,0,0,0,0,28,
Puteikis,Naglis,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,2,2,0,0,0,0,9,
Rastenis,Vytautas,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,2,1,0,0,0,1,4,0,0,0,0,4,0,0,0,0,0,0,9,
Razma,Jurgis,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rimkus,Juozas,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Rinkevičius,Viktoras,3,14,6,2,0,0,6,0,0,0,0,0,0,5,3,1,0,0,1,12,4,5,0,0,3,5,3,2,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1,39,
Rozova,Irina,3,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,7,
Sabatauskas,Julius,5,0,0,0,0,0,0,1,0,1,0,0,0,7,0,2,0,0,5,9,2,0,0,0,7,1,0,0,0,0,1,6,0,0,1,0,5,0,0,0,0,0,0,24,
Šakalienė,Dovilė,1,13,9,1,0,0,3,16,12,0,0,0,4,11,7,0,0,0,4,17,8,1,0,0,8,8,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,66,
Salamakinas,Algimantas,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Šalaševičiūtė,Rimantė,2,0,0,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
Šarknickas,Robertas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,4,0,0,0,25,3,1,0,0,21,1,0,0,0,0,1,32,
Saudargas,Paulius,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Šedbaras,Stasys,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Šiaulienė,Irena,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,5,
Šimas,Audrys,1,12,7,0,0,1,4,0,0,0,0,0,0,12,6,5,0,0,1,13,5,4,0,0,4,1,1,0,0,0,0,14,3,0,0,0,11,1,1,0,0,0,0,53,
Šimonytė,Ingrida,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Simulik,Valerijus,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,1,1,4,0,1,0,0,3,10,
Sinkevičius,Virginijus ,1,20,11,4,0,0,5,11,1,8,0,0,2,65,14,42,0,0,9,41,2,31,0,0,8,33,3,29,0,0,1,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,170,Seimo narys nuo 2016-11-14 iki 2019-11-28
Sinkevičius,Rimantas,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,2,8,
Širinskienė,Agnė,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
Skaistė,Gintarė,1,5,0,2,0,0,3,0,0,0,0,0,0,9,3,2,2,0,2,4,2,0,0,0,2,5,3,2,0,0,0,5,0,1,1,0,3,3,2,0,0,0,1,31,
Skardžius ,Artūras,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
Skvernelis,Saulius,1,23,3,16,0,0,4,37,9,20,0,1,7,44,4,23,0,0,17,25,3,8,0,0,14,20,1,7,0,2,10,8,5,0,0,2,1,7,0,3,0,2,2,164,
Smirnovas,Kęstutis,1,0,0,0,0,0,0,2,0,0,0,0,2,9,2,1,0,0,6,8,2,1,0,0,5,1,1,0,0,0,0,25,6,5,0,0,14,14,3,0,0,0,11,59,
Stacevičius,Lauras,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,5,3,0,0,1,1,1,0,1,0,0,0,18,14,1,0,0,3,0,0,0,0,0,0,27,
Stančikas,Andriejus,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,
Staniuvienė,Levutė,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Starkevičius,Kazys,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Steponavičius,Gintaras,5,5,2,0,0,0,3,10,0,6,0,0,4,7,2,1,0,0,4,17,5,6,0,0,6,20,4,2,0,0,14,0,0,0,0,0,0,17,0,7,0,0,10,76,
Streikus,Zenonas,1,4,3,1,0,0,0,2,0,1,0,0,1,4,1,0,0,0,3,4,2,0,0,0,2,4,1,1,0,0,2,1,0,1,0,0,0,2,2,0,0,0,0,21,
Strelčiūnas,Algis,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Sysas,Algirdas ,6,5,1,2,0,2,0,5,0,1,1,0,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,16,
Talmont,Leonard,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,
Tamašunienė,Rita,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,8,1,1,0,1,5,0,0,0,0,0,0,10,
Tomilinas,Tomas,1,6,0,5,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
Tumėnas,Stasys,1,1,0,0,0,0,1,4,0,2,0,0,2,3,1,0,0,0,2,8,1,3,0,0,4,8,1,1,0,0,6,4,1,0,0,0,3,2,1,0,0,0,1,30,
Urbšys,Povilas,2,2,1,0,0,1,0,3,2,0,0,0,1,2,2,0,0,0,0,3,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12,
Vaičekauskas,Gintaras,1,0,0,0,0,0,0,1,0,1,0,0,0,4,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,1,0,0,0,1,0,9,
Valiukevičiūtė,Ona,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Seimo narė nuo 2018-03-10
Valiūnas,Petras,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vareikis,Egidijus,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Varkalys,Jonas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,1,3,0,1,0,1,1,2,1,0,0,1,0,8,
Varžgalys,Juozas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vasiliauskas,Gediminas,1,0,0,0,0,0,0,7,3,3,0,1,0,18,5,2,1,0,10,22,8,3,0,0,11,16,3,5,0,1,7,11,1,1,0,2,7,0,0,0,0,0,0,74,
Veryga,Aurelijus,1,36,20,9,0,5,2,5,2,0,0,0,3,29,5,1,0,1,22,27,8,1,0,0,18,7,0,0,0,0,7,11,1,1,0,0,9,9,1,2,0,1,5,124,
Vingrienė,Virginija,1,30,1,19,0,5,5,15,5,6,0,1,3,28,21,3,0,2,2,40,28,7,0,1,4,47,25,18,1,2,1,59,26,22,3,1,7,44,28,15,1,0,0,263,
Vinkus,Antanas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Žemaitaitis,Remigijus,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,
Zingeris,Emanuelis,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
